ProteinID	Unique Peptide	Total Peptide	Unique Spectrum	Total Spectrum
g9925.t1	1	1	1	1
g9859.t1	1	1	1	1
g9851.t1	0	2	2	2
g9767.t1	0	2	2	2
g9751.t1	1	1	1	1
g9740.t1	0	1	0	1
g9738.t1	0	3	3	3
g971.t1	1	1	1	1
g9709.t1	1	1	1	1
g9586.t1	1	1	1	1
g9434.t1	0	1	0	1
g9408.t1	1	1	1	1
g9401.t1	1	3	3	3
g9396.t1	0	2	2	2
g9391.t1	2	2	2	2
g9378.t1	0	2	2	2
g9363.t1	1	1	1	1
g934.t1	1	1	1	1
g9299.t1	1	1	1	1
g9264.t1	1	1	1	1
g9230.t1	1	1	1	1
g9153.t1	1	1	1	1
g9122.t1	1	1	1	1
g9065.t1	1	1	1	1
g9063.t1	1	1	1	1
g9058.t1	1	1	1	1
g9046.t1	1	1	1	1
g8988.t1	1	1	1	1
g8945.t1	1	1	1	1
g8939.t1	1	1	1	1
g8877.t1	1	1	1	1
g885.t1	1	1	1	1
g8743.t1	1	1	1	1
g8716.t1	1	1	1	1
g8698.t1	1	1	1	1
g8696.t1	0	2	2	2
g8652.t1	0	5	5	5
g8604.t1	1	1	1	1
g8596.t1	0	4	4	4
g8593.t1	1	1	1	1
g8571.t1	1	1	1	1
g8518.t1	1	1	1	1
g8422.t1	0	2	2	2
g8408.t1	1	1	1	1
g8281.t1	1	1	1	1
g8202.t1	1	1	1	1
g8188.t1	1	1	1	1
g8102.t1	0	3	3	3
g8039.t1	0	1	0	1
g8030.t1	1	1	1	1
g8019.t1	0	2	2	2
g7951.t1	1	1	1	1
g7915.t1	1	1	1	1
g7891.t1	1	1	1	1
g7857.t1	0	1	0	1
g7853.t1	2	2	2	2
g7618.t1	0	2	2	2
g7598.t1	0	2	0	2
g7597.t1	0	2	0	2
g7537.t1	1	1	1	1
g7519.t1	0	8	8	8
g7486.t1	1	1	1	1
g7449.t1	1	1	1	1
g7405.t1	0	1	0	1
g7366.t1	1	1	1	1
g7302.t1	1	1	1	1
g7271.t1	1	1	1	1
g7175.t1	0	2	2	2
g7141.t1	1	1	1	1
g7118.t1	0	4	4	4
g6982.t1	1	1	1	1
g6839.t1	1	1	1	1
g6768.t1	1	1	1	1
g6626.t1	0	1	0	1
g6625.t1	0	1	0	1
g6592.t1	1	1	1	1
g6557.t1	1	1	1	1
g6528.t1	0	5	5	5
g6524.t1	1	1	1	1
g6512.t1	1	1	1	1
g6430.t1	1	1	1	1
g6365.t1	1	1	1	1
g6246.t1	1	1	1	1
g6219.t1	1	1	1	1
g6181.t1	1	1	1	1
g6100.t1	0	1	0	1
g6098.t1	0	1	0	1
g5998.t1	1	1	1	1
g5952.t1	1	1	1	1
g5907.t1	1	1	1	1
g5886.t1	1	1	1	1
g5808.t1	1	1	1	1
g5744.t1	1	1	1	1
g5544.t1	1	1	1	1
g5514.t1	1	1	1	1
g5495.t1	1	1	1	1
g5445.t1	0	2	0	2
g5366.t1	1	1	1	1
g533.t1	1	1	1	1
g5259.t1	1	1	1	1
g5239.t1	1	1	1	1
g5129.t1	1	1	1	1
g4997.t1	1	1	1	1
g4987.t1	1	1	1	1
g4915.t1	1	1	1	1
g4894.t1	1	1	1	1
g4705.t1	0	3	3	3
g4663.t1	1	1	1	1
g453.t1	1	1	1	1
g4528.t1	0	3	3	3
g4508.t1	1	1	1	1
g4442.t1	1	1	1	1
g4109.t1	1	1	1	1
g4081.t1	1	1	1	1
g4029.t1	1	1	1	1
g4006.t1	1	1	1	1
g3844.t1	0	1	0	1
g381.t1	1	1	1	1
g3742.t1	1	1	1	1
g3731.t1	1	1	1	1
g3727.t1	1	1	1	1
g3723.t1	1	1	1	1
g3721.t1	0	2	2	2
g3691.t1	0	4	4	4
g3654.t1	1	1	1	1
g353.t1	2	2	2	2
g3501.t1	1	1	1	1
g3411.t1	1	1	1	1
g3349.t1	2	2	2	2
g3274.t1	1	1	1	1
g3192.t1	1	1	1	1
g3173.t1	0	2	2	2
g3122.t1	1	1	1	1
g2944.t1	1	1	1	1
g2849.t1	1	1	1	1
g2774.t1	1	1	1	1
g2703.t1	1	1	1	1
g2671.t1	1	1	1	1
g2539.t1	1	1	1	1
g2494.t1	1	1	1	1
g241.t1	0	6	6	6
g2379.t1	0	1	0	1
g2239.t1	1	1	1	1
g2145.t1	1	1	1	1
g2006.t1	1	1	1	1
g1956.t1	1	1	1	1
g1952.t1	1	1	1	1
g1906.t1	1	1	1	1
g1893.t1	1	1	1	1
g1834.t1	1	1	1	1
g1825.t1	0	2	2	2
g1768.t1	1	1	1	1
g1742.t1	1	1	1	1
g1676.t1	0	2	2	2
g1661.t1	1	1	1	1
g1617.t1	1	1	1	1
g1590.t1	1	1	1	1
g1587.t1	1	1	1	1
g1576.t1	0	1	0	1
g1568.t1	1	1	1	1
g1522.t1	1	1	1	1
g1510.t1	0	2	0	2
g1509.t1	0	1	0	1
g1508.t1	0	1	0	1
g1507.t1	0	1	0	1
g1499.t1	1	1	1	1
g1497.t1	1	1	1	1
g1493.t1	1	1	1	1
g1289.t1	1	1	1	1
g1236.t1	1	1	1	1
g1193.t1	1	1	1	1
g10894.t1	1	1	1	1
g10802.t1	0	2	2	2
g10785.t1	0	2	0	2
g10670.t1	1	1	1	1
g10432.t1	1	1	1	1
g10299.t1	1	1	1	1
g10297.t1	1	1	1	1
g10255.t1	0	2	2	2
g10207.t1	0	2	2	2
g10154.t1	1	1	1	1
g10147.t1	1	1	1	1
g10135.t1	1	1	1	1
g1000.t1	1	1	1	1
