target_id	length	eff_length	est_counts	tpm
g1.t1.cds1	2577	2336.84	2466.0	156.039
g2.t1.cds1	879	638.91	1919.0	444.124
g3.t1.cds1	687	447.114	1618.0	535.092
g4.t1.cds1	495	259.101	3941.0	224.909
g6.t1.cds1	840	599.91	1902.0	468.806
g7.t1.cds1	1323	1082.84	11966.0	163.401
g8.t1.cds1	648	408.448	3884.0	140.608
g9.t1.cds1	990	749.836	3304.0	651.543
g10.t1.cds1	1155	914.836	2747.0	444.001
g11.t1.cds1	444	211.64	6484.0	453.017
g12.t1.cds1	1311	1070.84	14141.0	195.266
g13.t1.cds1	2604	2363.84	5707.0	356.993
g14.t1.cds1	2127	1886.84	5120.0	401.241
g15.t1.cds1	1260	1019.84	6815.0	988.108
g16.t1.cds1	1932	1691.84	9204.0	804.428
g18.t1.cds1	1509	1268.84	7120.0	829.743
g22.t1.cds1	1182	941.836	9366.0	147.044
g24.t1.cds1	669	429.158	8298.0	285.908
g25.t1.cds1	456	222.732	56322.0	3739.08
g26.t1.cds1	1242	1001.84	5141.0	758.787
g27.t1.cds1	3543	3302.84	8454.0	378.481
g28.t1.cds1	702	462.069	2140.0	684.819
g29.t1.cds1	687	447.114	2432.0	804.292
g30.t1.cds1	1041	800.836	1421.0	262.373
g31.t1.cds1	1017	776.836	7396.0	140.779
g33.t1.cds1	1677	1436.84	12556.0	129.215
g34.t1.cds1	1866	1625.84	3270.0	297.399
g35.t1.cds1	222	517.926	2792.0	797.107
g36.t1.cds1	852	611.91	13968.0	337.533
g37.t1.cds1	2454	2213.84	3939.0	263.093
g38.t1.cds1	4401	4160.84	17715.0	629.549
g39.t1.cds1	1035	794.836	6742.0	125.424
g41.t1.cds1	1332	1091.84	3387.0	458.698
g42.t1.cds1	732	492.02	2889.0	868.228
g43.t1.cds1	255	688.746	3605.0	773.954
g44.t1.cds1	1971	1730.84	10241.0	874.894
g45.t1.cds1	843	602.91	1594.0	390.935
g47.t1.cds1	963	722.91	8031.0	164.269
g48.t1.cds1	786	545.969	1828.0	495.082
g49.t1.cds1	1401	1160.84	4208.0	536.011
g50.t1.cds1	252	672.218	268.147	589.837
g51.t1.cds1	2103	1862.84	9793.0	777.338
g52.t1.cds1	3339	3098.84	4659.0	222.312
g53.t1.cds1	666	426.158	2011.0	697.768
g54.t1.cds1	606	366.792	2349.0	946.962
g56.t1.cds1	855	614.91	1888.0	454.004
g58.t1.cds1	570	331.527	15222.0	678.926
g59.t1.cds1	738	498.02	7033.0	208.816
g60.t1.cds1	1353	1112.84	2011.0	267.208
g61.t1.cds1	381	158.017	1750.0	163.758
g62.t1.cds1	825	584.969	1709.35	432.082
g63.t1.cds1	2730	2489.84	3473.0	206.254
g64.t1.cds1	585	346.222	6800.89	290.456
g65.t1.cds1	480	244.946	2205.0	133.109
g66.t1.cds1	471	236.606	2851.0	178.172
g68.t1.cds1	1434	1193.84	1418.0	175.631
g70.t1.cds1	3126	2885.84	4068.0	208.439
g71.t1.cds1	1626	1385.84	2148.0	229.188
g72.t1.cds1	3024	2783.84	3983.0	211.561
g73.t1.cds1	468	233.87	570.0	360.387
g74.t1.cds1	1809	1568.84	6039.0	569.189
g75.t1.cds1	1296	1055.84	4540.0	635.812
g76.t1.cds1	1206	965.836	6128.0	938.176
g77.t1.cds1	2037	1796.84	1712.0	140.885
g78.t1.cds1	1158	917.836	1526.0	245.843
g79.t1.cds1	1809	1568.84	3901.0	367.678
g80.t1.cds1	1530	1289.84	4057.0	465.093
g81.t1.cds1	876	635.91	4273.0	993.588
g82.t1.cds1	1923	1682.84	5365.0	471.408
g83.t1.cds1	3435	3194.84	6916.0	320.092
g84.t1.cds1	2133	1892.84	7431.0	580.501
g85.t1.cds1	1284	1043.84	1140.0	161.488
g86.t1.cds1	1530	1289.84	4377.0	501.777
g87.t1.cds1	459	225.503	16441.0	1078.07
g88.t1.cds1	1941	1700.84	5189.0	451.118
g89.t1.cds1	378	155.73	7924.0	752.388
g90.t1.cds1	567	328.56	6813.0	306.615
g91.t1.cds1	1353	1112.84	5229.0	694.795
g92.t1.cds1	2760	2519.84	42694.0	250.532
g93.t1.cds1	1320	1079.84	2732.0	374.104
g95.t1.cds1	804	563.969	2964.0	777.127
g96.t1.cds1	717	477.069	1877.0	581.771
g98.t1.cds1	2604	2363.84	1586.0	992.099
g100.t1.cds1	1149	908.836	4220.0	686.588
g101.t1.cds1	2091	1850.84	7244.0	578.735
g103.t1.cds1	2184	1943.84	19261.0	146.517
g105.t1.cds1	348	132.018	363.0	406.575
g107.t1.cds1	297	944.698	2014.0	315.236
g108.t1.cds1	765	524.969	4935.0	139.003
g109.t1.cds1	2622	2381.84	6508.0	404.022
g110.t1.cds1	681	441.114	7701.0	258.146
g111.t1.cds1	1215	974.836	4004.0	607.339
g112.t1.cds1	1866	1625.84	4292.0	390.348
g113.t1.cds1	876	635.91	3978.0	924.992
g114.t1.cds1	3864	3623.84	1915.0	781.393
g115.t1.cds1	1647	1406.84	6758.0	710.303
g116.t1.cds1	516	279.045	2567.0	136.026
g117.t1.cds1	348	132.018	3048.0	341.389
g118.t1.cds1	1392	1151.84	4560.0	585.387
g119.t1.cds1	543	305.133	1368.0	662.926
g121.t1.cds1	786	545.969	2284.0	618.582
g122.t1.cds1	1149	908.836	3841.0	624.925
g123.t1.cds1	2376	2135.84	4231.0	292.917
g124.t1.cds1	1833	1592.84	8753.0	812.559
g126.t1.cds1	1515	1274.84	7644.0	886.616
g127.t1.cds1	2847	2606.84	4130.0	234.264
g128.t1.cds1	1365	1124.84	4282.0	562.894
g129.t1.cds1	552	313.947	4705.0	221.601
g131.t1.cds1	7830	7589.84	15049.0	293.187
g133.t1.cds1	849	608.91	3354.0	814.477
g134.t1.cds1	657	417.284	4500.0	159.459
g135.t1.cds1	294	925.161	1014.0	162.065
g136.t1.cds1	1173	932.836	1891.0	299.747
g138.t1.cds1	342	127.481	2905.0	336.953
g139.t1.cds1	1194	953.836	1476.0	228.814
g140.t1.cds1	1416	1175.84	63774.0	801.984
g141.t1.cds1	1266	1025.84	4277.0	616.496
g142.t1.cds1	1800	1559.84	5257.0	498.343
g143.t1.cds1	639	399.448	2138.0	791.437
g144.t1.cds1	813	572.969	12371.3	319.266
g148.t1.cds1	1728	1487.84	5083.0	505.166
