target_id	length	eff_length	est_counts	tpm
g1.t1.cds1	2577	2336.84	2466	156.039
g2.t1.cds1	879	638.91	1919	444.124
g3.t1.cds1	687	447.114	1618	535.092
g4.t1.cds1	495	259.101	3941	224.909
g5.t1.cds1	1398	1157.84	8114	103.623
g6.t1.cds1	840	599.91	1902	468.806
g7.t1.cds1	1323	1082.84	11966	163.401
g8.t1.cds1	648	408.448	3884	140.608
g9.t1.cds1	990	749.836	3304	651.543
g10.t1.cds1	1155	914.836	2747	444.001
g11.t1.cds1	444	211.64	6484	453.017
g12.t1.cds1	1311	1070.84	14141	195.266
g13.t1.cds1	2604	2363.84	5707	356.993
g14.t1.cds1	2127	1886.84	5120	401.241
g15.t1.cds1	1260	1019.84	6815	988.108
g16.t1.cds1	1932	1691.84	9204	804.428
g17.t1.cds1	1173	932.836	3234	51.263
g18.t1.cds1	1509	1268.84	7120	829.743
g19.t1.cds1	810	569.969	3964	102.838
g20.t1.cds1	1419	1178.84	1001	12.556
g21.t1.cds1	1614	1373.84	3325	35.787
g22.t1.cds1	1182	941.836	9366	147.044
g23.t1.cds1	2949	2708.84	9192	50.176
g24.t1.cds1	669	429.158	8298	285.908
g25.t1.cds1	456	222.732	56322	3739.08
g26.t1.cds1	1242	1001.84	5141	758.787
g27.t1.cds1	3543	3302.84	8454	378.481
g28.t1.cds1	702	462.069	2140	684.819
g29.t1.cds1	687	447.114	2432	804.292
g30.t1.cds1	1041	800.836	1421	262.373
g31.t1.cds1	1017	776.836	7396	140.779
g32.t1.cds1	1899	1658.84	12608	112.386
g33.t1.cds1	1677	1436.84	12556	129.215
g34.t1.cds1	1866	1625.84	3270	297.399
g35.t1.cds1	222	517.926	2792	797.107
g36.t1.cds1	852	611.91	13968	337.533
g37.t1.cds1	2454	2213.84	3939	263.093
g38.t1.cds1	4401	4160.84	17715	629.549
g39.t1.cds1	1035	794.836	6742	125.424
g40.t1.cds1	2046	1805.84	6226	50.98
g41.t1.cds1	1332	1091.84	3387	458.698
g42.t1.cds1	732	492.02	2889	868.228
g43.t1.cds1	255	688.746	3605	773.954
g44.t1.cds1	1971	1730.84	10241	874.894
g45.t1.cds1	843	602.91	1594	390.935
g46.t1.cds1	3087	2846.84	6895	35.813
g47.t1.cds1	963	722.91	8031	164.269
g48.t1.cds1	786	545.969	1828	495.082
g49.t1.cds1	1401	1160.84	4208	536.011
g50.t1.cds1	252	672.218	268.147	589.837
g51.t1.cds1	2103	1862.84	9793	777.338
g52.t1.cds1	3339	3098.84	4659	222.312
g53.t1.cds1	666	426.158	2011	697.768
g54.t1.cds1	606	366.792	2349	946.962
g55.t1.cds1	444	211.64	1636	114.302
g56.t1.cds1	855	614.91	1888	454.004
