ProteinID	Annotation	IPR	GO	Superfamily	Transcript	TPM	Expression	Total_Peptide	Unique_Peptide
g1.t1	50S ribosome-binding GTPase, putative	IPR006073,IPR027417,IPR030393	GO:0005525	SSF52540	False	None	False	None	None
g2.t1	SSU ribosomal protein, mitochondrial, putative	IPR036894	None	SSF82607	False	None	False	None	None
g3.t1	3'a2rel-related protein	None	None	None	False	None	False	None	None
g4.t1	prefoldin	IPR004127,IPR011599	GO:0006457,GO:0016272,GO:0051082	SSF46579	False	None	False	None	None
g5.t1	guide RNA associated protein, GAP2	None	None	None	False	None	False	None	None
g6.t1	hypothetical protein	None	None	None	False	None	False	None	None
g7.t1	26S proteasome regulatory subunit 6A homolog A	IPR003593,IPR003959,IPR003960,IPR005937,IPR027417,IPR032501,IPR041569	GO:0005524,GO:0005737,GO:0016887,GO:0030163,GO:0036402	SSF52540	False	None	False	None	None
g8.t1	Ubiquitin-conjugating enzyme E2 2	IPR000608,IPR016135,IPR023313	None	SSF54495	False	None	False	None	None
g9.t1	N-acetyltransferase 9	IPR000182,IPR016181,IPR039135	GO:0008080,GO:0016747	SSF55729	False	None	False	None	None
g10.t1	Uncharacterised protein family UPF0066, putative	IPR000313,IPR023368,IPR023370,IPR036413,IPR040372	None	SSF118196,SSF63748	False	None	False	None	None
g11.t1	Protein RER1A	IPR004932	GO:0016021	None	False	None	False	None	None
g12.t1	26S proteasome regulatory subunit 7	IPR003593,IPR003959,IPR003960,IPR005937,IPR027417,IPR035245,IPR041569	GO:0005524,GO:0005737,GO:0016887,GO:0030163,GO:0036402	SSF52540	False	None	False	None	None
g13.t1	kinesin	IPR001752,IPR019821,IPR027417	GO:0003777,GO:0005524,GO:0007018,GO:0008017,GO:1990939	SSF52540	False	None	False	None	None
g14.t1	kinetoplast ribosomal PPR-repeat containing protein 15	None	None	None	False	None	False	None	None
g15.t1	peptidyl-prolyl cis-trans isomerase	IPR000253,IPR000297,IPR008984	GO:0003755,GO:0005515	SSF49879,SSF54534	False	None	False	None	None
g16.t1	Rab-GTPase-TBC domain containing protein	IPR000195,IPR021935,IPR035969	None	SSF47923	False	None	False	None	None
g17.t1	hypothetical protein	IPR027417	None	SSF52540	False	None	False	None	None
g18.t1	Protein IWS1 homolog	IPR017923	GO:0005634	None	False	None	False	None	None
g19.t1	Pyrroline-5-carboxylate reductase	IPR000304,IPR008927,IPR028939,IPR029036,IPR036291	GO:0004735,GO:0006561	SSF48179,SSF51735	False	None	False	None	None
g20.t1	Glycogen synthase kinase-3 beta	IPR000719,IPR008271,IPR011009,IPR017441,IPR039192	GO:0004672,GO:0005524,GO:0006468	SSF56112	False	None	False	None	None
g21.t1	EH domain-containing protein 2	IPR022812,IPR027417	None	SSF52540	False	None	False	None	None
g22.t1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	IPR002547,IPR012340	GO:0000049	SSF50249	False	None	False	None	None
g23.t1	Tripartite attachment complex protein 102	None	None	None	False	None	False	None	None
g24.t1	N-alpha-acetyltransferase 30	IPR000182,IPR016181,IPR044542	GO:0004596,GO:0008080,GO:0017196	SSF55729	False	None	False	None	None
g25.t1	40S ribosomal protein S15	IPR002222,IPR005713,IPR020934,IPR023575	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935	SSF54570	False	None	False	None	None
g26.t1	DNA primase small subunit, putative	IPR002755,IPR014052	GO:0003896,GO:0006269	SSF56747	False	None	False	None	None
g27.t1	Nucleoporin	None	None	None	False	None	False	None	None
g28.t1	hypothetical protein	None	None	None	False	None	False	None	None
g29.t1	hypothetical protein	None	None	None	False	None	False	None	None
g30.t1	methylenetetrahydrofolate dehydrogenase-like protein, putative	IPR000672,IPR020630,IPR020631,IPR036291	GO:0004488	SSF51735,SSF53223	False	None	False	None	None
g31.t1	UBX domain-containing protein 3	IPR012989,IPR029071,IPR036241	None	SSF102848,SSF54236	False	None	False	None	None
g32.t1	carnitine O-acetyltransferase	IPR000542,IPR039551	GO:0016746	SSF52777	False	None	False	None	None
g33.t1	hypothetical protein	IPR016024	None	SSF48371	False	None	False	None	None
g34.t1	hypothetical protein	None	None	None	False	None	False	None	None
g35.t1	Tim10/DDP family zinc finger, putative	IPR004217,IPR035427	None	SSF144122	False	None	False	None	None
g36.t1	translocon-associated protein (TRAP) alpha subunit	IPR005595	GO:0005789	None	False	None	False	None	None
g37.t1	hypothetical protein	None	None	None	False	None	False	None	None
g38.t1	Nucleolar protein 168, putative	None	None	None	False	None	False	None	None
g39.t1	hypothetical protein	None	None	None	False	None	False	None	None
g40.t1	hypothetical protein	None	None	None	False	None	False	None	None
g41.t1	DSCC1	IPR019128	GO:0007064,GO:0031390	None	False	None	False	None	None
g42.t1	kinetoplastid kinetochore protein 11	None	None	None	False	None	False	None	None
g43.t1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), putative	IPR000504,IPR035979	GO:0003676	SSF54928	False	None	False	None	None
g44.t1	GMP synthase [glutamine-hydrolyzing]	IPR001674,IPR004739,IPR017926,IPR018317,IPR025777,IPR029062	GO:0003922,GO:0005524,GO:0006164,GO:0006177,GO:0016462	SSF52317,SSF52402,SSF54810	False	None	False	None	None
g45.t1	hypothetical protein	None	None	None	False	None	False	None	None
g46.t1	methyltransferase	IPR004971,IPR012340,IPR013846,IPR029063,IPR039753	GO:0004482	SSF50249,SSF53335,SSF56091	False	None	False	None	None
g47.t1	DnaJ homolog subfamily A member 2	IPR001305,IPR002939,IPR008971,IPR036410,IPR044713	GO:0006457,GO:0030544,GO:0031072,GO:0051082	SSF49493,SSF57938	False	None	False	None	None
g48.t1	DNA repair protein, putative	IPR004579,IPR010994,IPR011335	GO:0003684,GO:0005634,GO:0006281	SSF47781,SSF52980	False	None	False	None	None
g49.t1	hypothetical protein	None	None	None	False	None	False	None	None
g50.t1	hypothetical protein	None	None	None	False	None	False	None	None
g51.t1	WD domain, G-beta repeat, putative	IPR001680,IPR017986,IPR019775,IPR020472,IPR036322,IPR037783	GO:0005515	SSF50978	False	None	False	None	None
g52.t1	hypothetical protein	IPR001849	None	SSF50729	False	None	False	None	None
g53.t1	39S mitochondrial ribosomal protein L46, putative	IPR021757,IPR040008	GO:0003735	None	False	None	False	None	None
g54.t1	hypothetical protein	None	None	None	False	None	False	None	None
g55.t1	pumilio/PUF RNA binding protein 5, putative	IPR001313,IPR016024,IPR033133	GO:0003723	SSF48371	False	None	False	None	None
g56.t1	hypothetical protein	None	None	None	False	None	False	None	None
g57.t1	Cytochrome B561, N terminal, putative	IPR019176	None	None	False	None	False	None	None
g58.t1	Peptidyl-prolyl cis-trans isomerase B2	IPR002130,IPR020892,IPR024936,IPR029000	GO:0000413,GO:0003755,GO:0006457	SSF50891	False	None	False	None	None
g59.t1	Proteasome subunit beta type-1-B	IPR001353,IPR016050,IPR023333,IPR029055,IPR035202	GO:0004298,GO:0005839,GO:0051603	SSF56235	False	None	False	None	None
g60.t1	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1	IPR003607,IPR006674	None	SSF109604	False	None	False	None	None
g61.t1	Multifunctional methyltransferase subunit TRM112-like protein	IPR005651,IPR039127	GO:0046982	SSF158997	False	None	False	None	None
g62.t1	surface protease GP63	IPR001577	GO:0004222,GO:0006508,GO:0007155,GO:0016020	SSF55486	False	None	False	None	None
g63.t1	hypothetical protein	None	None	None	False	None	False	None	None
g64.t1	Superoxide dismutase [Fe]	IPR001189,IPR019831,IPR019832,IPR019833,IPR036314,IPR036324	GO:0004784,GO:0006801,GO:0046872	SSF46609,SSF54719	False	None	False	None	None
g65.t1	Glutathione peroxidase	IPR000889,IPR036249	GO:0004602,GO:0006979	SSF52833	False	None	False	None	None
g66.t1	Transport protein particle subunit trs23	IPR007233,IPR011012	GO:0016192,GO:0030008	SSF64356	False	None	False	None	None
g67.t1	hypothetical protein	None	None	None	False	None	False	None	None
g68.t1	amino acid transporter, putative	IPR013057	None	None	False	None	False	None	None
g69.t1	As/Sb Reductase, putative	IPR001763,IPR036873	None	SSF52821	False	None	False	None	None
g70.t1	Guanine nucleotide exchange factor in Golgi transport N-terminal/Sec7 domain containing protein, putative	IPR000904,IPR016024,IPR032629,IPR032691,IPR035999	GO:0005085,GO:0032012	SSF48371,SSF48425	False	None	False	None	None
g71.t1	hypothetical protein	None	None	None	False	None	False	None	None
g72.t1	Nucleoporin NUP109	None	None	None	False	None	False	None	None
g73.t1	exonuclease, putative	IPR012337,IPR013520	None	SSF53098	False	None	False	None	None
g74.t1	transmembrane protein, putative	None	None	None	False	None	False	None	None
g75.t1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	IPR000504,IPR035979	GO:0003676	SSF54928	False	None	False	None	None
g76.t1	26S proteasome non-ATPase regulatory subunit 6 homolog	IPR000717,IPR019585,IPR035268,IPR036390	GO:0030234	SSF46785	False	None	False	None	None
g77.t1	hypothetical protein	None	None	None	False	None	False	None	None
g78.t1	prefoldin subunit, putative	IPR004127	None	SSF46579	False	None	False	None	None
g79.t1	CS domain/TPR repeat, putative	IPR007052,IPR008978,IPR011990,IPR013026,IPR019734,IPR037894	GO:0003341,GO:0005515	SSF48452,SSF49764	False	None	False	None	None
g80.t1	zinc-finger protein	IPR000306,IPR011011,IPR017455	GO:0046872	SSF57903	False	None	False	None	None
g81.t1	Soluble NSF attachment protein, SNAP, putative	IPR000744,IPR011990	GO:0005515,GO:0006886	SSF48452	False	None	False	None	None
g82.t1	outer dynein arm docking complex, putative	None	None	None	False	None	False	None	None
g83.t1	ubiquitin hydrolase	IPR001394,IPR006615,IPR018200,IPR028889,IPR035927,IPR038765	GO:0004843,GO:0006511,GO:0016579	SSF143791,SSF54001	False	None	False	None	None
g84.t1	FG-GAP repeat protein	None	None	None	False	None	False	None	None
g85.t1	tubulin---tyrosine ligase	IPR004344	GO:0006464	SSF56059	False	None	False	None	None
g86.t1	hypothetical protein	None	None	None	False	None	False	None	None
g87.t1	Nucleoside diphosphate kinase B	IPR001564,IPR023005,IPR034907,IPR036850	GO:0004550,GO:0006165,GO:0006183,GO:0006228,GO:0006241	SSF54919	False	None	False	None	None
g88.t1	DNA replication licensing factor MCM7	IPR001208,IPR008050,IPR012340,IPR018525,IPR027417,IPR031327,IPR033762,IPR041562	GO:0003677,GO:0003678,GO:0005524,GO:0006260,GO:0006270,GO:0032508,GO:0042555	SSF50249,SSF52540	False	None	False	None	None
g89.t1	tubulin binding cofactor A-like protein	IPR004226,IPR036126	GO:0007021,GO:0007023,GO:0048487	SSF46988	False	None	False	None	None
g90.t1	Thioredoxin domain-containing protein 9	IPR024253,IPR036249	None	SSF52833	False	None	False	None	None
g91.t1	DNA-directed RNA polymerases I, II, and III subunit RPABC2	IPR002550	None	SSF54631	False	None	False	None	None
g92.t1	leucine-rich repeat protein (LRRP)	IPR001611,IPR014756,IPR025875,IPR032640	GO:0005515	SSF52075,SSF81296	False	None	False	None	None
g93.t1	50S ribosome-binding GTPase	None	None	None	False	None	False	None	None
g94.t1	DnaJ domain	IPR001623,IPR018253,IPR036869	None	SSF46565	False	None	False	None	None
